feature,drop_mean,drop_std,n_folds
user:total_posts,0.03357209404302312,0.02973436323599024,5
user:posting_frequency,0.02911338530818302,0.02676544453609393,5
user:U_TweetNumDay,0.024541151537749557,0.028445841241145478,5
user:retweet_ratio,0.017054262937839883,0.026231948745994226,5
user:HU_TweetPercent_Retweet,0.0152115952352927,0.028285453038082813,5
user:retweet_count,0.012858205093535146,0.016550382013248113,5
user:HU_TweetPercent_Original,0.010998850429362387,0.022770952011840727,5
user:U_AccountAge_days,0.00916844780502145,0.025402664422046986,5
user:U_ProfileUrl,0.006169063013689559,0.015300296176407893,5
user:HU_AverageInterval_days,0.0049629356338345715,0.006611273711202534,5
user:U_ListedNumDay,0.003875197683183501,0.007231964435059742,5
user:follower_to_followee_ratio,0.00385804169984304,0.008626843500877878,5
user:followers_count,0.002982364242296144,0.029054246388971937,5
user:verified,0.0017181017609233331,0.0064002406728936225,5
user:HU_TweetNum,0.001485125186569768,0.0044651929840520965,5
user:U_FolloweeNumDay,-0.00419188881227904,0.012253639163602486,5
user:following_count,-0.005340263016357122,0.006174708560568495,5
user:U_ListedNum,-0.006905659238718347,0.01835286102941233,5
user:U_FollowerNumDay,-0.015855660057321176,0.016190692930426177,5
