feature,drop_mean,drop_std
user:U_AccountAge_days,0.04186963253127453,0.041235588285026215
user:total_posts,0.021799792826423702,0.028976670384710548
user:followers_count,0.04289261803922699,0.031409967634393125
user:following_count,-0.009404959003859764,0.02735882884164691
user:verified,0.007495411957886588,0.019864618798750736
user:posting_frequency,0.021574318067082633,0.05974572827851165
user:retweet_count,-0.004013219530910789,0.05686243313717655
user:follower_to_followee_ratio,0.0192902084992152,0.029383067067935895
user:retweet_ratio,-0.003741729096330637,0.03372055703357848
user:HU_TweetNum,0.006568144499178974,0.013477548139049627
user:HU_TweetPercent_Original,-0.010034228323749384,0.0383648363406839
user:HU_TweetPercent_Retweet,0.052806835731899496,0.03861758604895129
user:HU_AverageInterval_days,0.0014797643195208932,0.024243703165611023
user:U_ListedNum,0.003059982613735146,0.009418427758347623
user:U_ProfileUrl,-0.0014230979748221183,0.012390612547749147
user:U_FollowerNumDay,-0.01001707185048154,0.0324864190206032
user:U_FolloweeNumDay,-0.020437764341448193,0.02813195395473501
user:U_TweetNumDay,0.0581079619189111,0.045219910286144555
user:U_ListedNumDay,-0.004287324125052339,0.027933594809267732
