feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,0.0,0.5804195804195804,0.5804195804195804
user:total_posts,0.026240013856112965,0.5804195804195804,0.5541795665634675
user:followers_count,0.0,0.5804195804195804,0.5804195804195804
user:following_count,0.030419580419580372,0.5804195804195804,0.55
user:verified,0.030419580419580372,0.5804195804195804,0.55
user:posting_frequency,0.0,0.5804195804195804,0.5804195804195804
user:retweet_count,0.026240013856112965,0.5804195804195804,0.5541795665634675
user:follower_to_followee_ratio,0.0,0.5804195804195804,0.5804195804195804
user:retweet_ratio,0.0,0.5804195804195804,0.5804195804195804
user:HU_TweetNum,-0.02583041958041954,0.5804195804195804,0.60625
user:HU_TweetPercent_Original,0.005281893558840789,0.5804195804195804,0.5751376868607396
user:HU_TweetPercent_Retweet,0.0,0.5804195804195804,0.5804195804195804
user:HU_AverageInterval_days,0.03756243756243749,0.5804195804195804,0.5428571428571429
user:U_ListedNum,0.0,0.5804195804195804,0.5804195804195804
user:U_ProfileUrl,0.05594405594405594,0.5804195804195804,0.5244755244755245
user:U_FollowerNumDay,0.030419580419580372,0.5804195804195804,0.55
user:U_FolloweeNumDay,0.0,0.5804195804195804,0.5804195804195804
user:U_TweetNumDay,0.0,0.5804195804195804,0.5804195804195804
user:U_ListedNumDay,0.0,0.5804195804195804,0.5804195804195804
