feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,0.0,0.7142857142857142,0.7142857142857142
user:total_posts,-0.025890709130484746,0.7142857142857142,0.7401764234161989
user:followers_count,-0.05714285714285716,0.7142857142857142,0.7714285714285714
user:following_count,-0.030796897830729586,0.7142857142857142,0.7450826121164438
user:verified,0.0,0.7142857142857142,0.7142857142857142
user:posting_frequency,0.0,0.7142857142857142,0.7142857142857142
user:retweet_count,-0.08362928170466266,0.7142857142857142,0.7979149959903769
user:follower_to_followee_ratio,0.0,0.7142857142857142,0.7142857142857142
user:retweet_ratio,-0.05714285714285716,0.7142857142857142,0.7714285714285714
user:HU_TweetNum,0.0,0.7142857142857142,0.7142857142857142
user:HU_TweetPercent_Original,0.0,0.7142857142857142,0.7142857142857142
user:HU_TweetPercent_Retweet,0.0,0.7142857142857142,0.7142857142857142
user:HU_AverageInterval_days,0.0,0.7142857142857142,0.7142857142857142
user:U_ListedNum,-0.025890709130484746,0.7142857142857142,0.7401764234161989
user:U_ProfileUrl,-0.025890709130484746,0.7142857142857142,0.7401764234161989
user:U_FollowerNumDay,0.0,0.7142857142857142,0.7142857142857142
user:U_FolloweeNumDay,-0.030796897830729586,0.7142857142857142,0.7450826121164438
user:U_TweetNumDay,0.0,0.7142857142857142,0.7142857142857142
user:U_ListedNumDay,-0.030796897830729586,0.7142857142857142,0.7450826121164438
