feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
user:U_AccountAge_days,5,1.0,0.6,0.030550546477590902,-0.00817076680028612,-1,0.018330327886554542
user:retweet_count,5,1.0,0.6,0.030114065092250047,0.0013513050429976483,-1,0.01806843905535003
user:U_ProfileUrl,5,1.0,0.8,0.018986174650472837,-2.0396481174994597e-07,-1,0.01518893972037827
user:HU_AverageInterval_days,5,1.0,0.8,0.018751621193165296,0.011394993858991814,1,0.015001296954532237
user:HU_TweetPercent_Retweet,5,1.0,0.6,0.024029421414352818,-0.0009900202118741097,1,0.014417652848611691
user:retweet_ratio,5,1.0,0.6,0.023883833679583355,-0.006402007189702029,-1,0.014330300207750012
user:followers_count,5,1.0,0.6,0.02278787159209251,-0.013843300229286024,-1,0.013672722955255507
user:total_posts,5,1.0,0.6,0.0219833224049873,-0.003057089623761544,-1,0.01318999344299238
user:posting_frequency,5,1.0,0.6,0.01911300905609985,0.002284818773606708,-1,0.01146780543365991
user:HU_TweetPercent_Original,5,1.0,0.6,0.01788004788456267,-0.00323284921557999,1,0.010728028730737601
user:following_count,5,1.0,0.6,0.01721484490244491,-0.007132770661225997,-1,0.010328906941466947
user:U_FolloweeNumDay,5,1.0,0.6,0.016064949482586105,-0.00262124261037234,1,0.009638969689551663
user:U_TweetNumDay,5,1.0,0.6,0.01191002228040846,-0.0005737237569110462,-1,0.007146013368245076
user:HU_TweetNum,5,1.0,0.6,0.011849708269930502,0.002546232695705389,-1,0.007109824961958301
user:U_ListedNum,5,1.0,0.6,0.010039595639942979,-0.007618100202977264,1,0.006023757383965787
user:U_ListedNumDay,5,1.0,0.6,0.009750898770430411,-0.004304836358423707,1,0.0058505392622582465
user:follower_to_followee_ratio,5,1.0,1.0,0.0058442311958820875,0.0058442311958820875,1,0.0058442311958820875
user:verified,5,1.0,0.8,0.0029795965099727794,0.0024052958106720815,1,0.002383677207978224
user:U_FollowerNumDay,5,1.0,0.8,0.002512090537961491,-0.002512090537961491,-1,0.002009672430369193
