cluster,drop_F1_mean,drop_F1_std,n_folds
146,0.08587797014197768,0.1531858745898574,5
70,0.04636886505457657,0.07771560870873145,5
89,0.036988936988937016,,1
37,0.031519900900149035,0.10037477958164896,5
171,0.0282016944297687,0.07774584100269205,5
75,0.027813465253553563,0.03298269757068538,4
48,0.02292843125475591,,1
93,0.018494468494468508,0.02615512817375928,2
39,0.018494468494468508,0.02615512817375928,2
1,0.016295456736054703,0.017408124078136918,5
149,0.01583199409286362,,1
40,0.014829448897112166,0.015999399418644714,3
113,0.01323013192022024,0.034851570808051104,4
127,0.010961430526647886,0.013599131803433638,4
18,0.0107404232605499,0.02637046909782036,4
15,0.005607557774183647,0.019281871431268506,5
111,0.0045934846495017,0.04687092056614031,5
129,0.0044301451460373896,0.07851800112059995,5
92,0.003976246674909168,0.01637849324424113,5
141,0.0008599931200550248,,1
99,0.0,,1
7,0.0,0.0,2
126,0.0,,1
27,0.0,,1
76,0.0,0.0,2
184,0.0,,1
163,0.0,0.0,2
153,0.0,,1
185,-0.0004837858831807651,0.07068173741611146,5
29,-0.011299184686281452,0.022598369372562904,4
50,-0.011904761904761862,,1
199,-0.013178327393280476,0.03658814370682154,5
189,-0.017087542087542068,0.007329558025286276,2
