fold,arm,P,R,F1
1,text,0.588461538,0.57120743,0.555555556
1,user,0.480769231,0.484520124,0.451483561
1,fusion,0.598214286,0.568111455,0.540425532
2,text,0.588461538,0.57120743,0.555555556
2,user,0.690322581,0.591331269,0.541818182
2,fusion,0.58125,0.580495356,0.58041958
3,text,0.555555556,0.541795666,0.518394649
3,user,0.60952381,0.606811146,0.60625
3,fusion,0.514705882,0.503095975,0.39225422
4,text,0.395833333,0.407120743,0.393744988
4,user,0.60952381,0.606811146,0.60625
4,fusion,0.491638796,0.492260062,0.485714286
5,text,0.476190476,0.476973684,0.475
5,user,0.433760684,0.449013158,0.404761905
5,fusion,0.779411765,0.53125,0.417314095
Arm,Precision (P),Recall (R),F1,
Text,0.5209 ± 0.0836,0.5137 ± 0.0709,0.4997 ± 0.0679,
User,0.5648 ± 0.1049,0.5477 ± 0.0752,0.5221 ± 0.0912,
Fusion,0.5930 ± 0.1133,0.5350 ± 0.0388,0.4832 ± 0.0796,
