fold,cluster,drop_F1
1,37,-0.03488067138735895
1,70,0.10437286786618027
1,111,-0.0068240433307309445
1,129,0.13333398289540677
1,185,0.07760642871584023
1,146,0.05664830841856805
1,171,-0.004577641084328676
1,15,-0.03384867964329297
1,199,-0.004577641084328676
1,1,0.05136641485972726
1,40,0.02553599527930772
1,92,0.02553599527930772
1,75,0.05136641485972726
1,7,0.0
1,127,0.02553599527930772
1,93,0.02553599527930772
1,113,0.02553599527930772
1,18,0.02553599527930772
1,76,-0.05065185556271312
1,38,0.02553599527930772
