fold,family,P_macro,R_macro,F1_macro
1,Users,0.5777777777777777,0.5772058823529411,0.5753676470588236
1,Message,0.40909090909090906,0.41911764705882354,0.4045584045584045
1,Fusion,0.513157894736842,0.5128676470588236,0.5111111111111111
2,Users,0.7196078431372549,0.71875,0.718475073313783
2,Message,0.4676113360323887,0.46875,0.464039408866995
2,Fusion,0.5941176470588235,0.59375,0.5933528836754643
3,Users,0.45833333333333337,0.4607843137254902,0.45545545545545546
3,Message,0.475,0.4764705882352941,0.464039408866995
3,Fusion,0.4642857142857143,0.4647058823529412,0.464039408866995
4,Users,0.5019607843137255,0.5019607843137255,0.5
4,Message,0.4392156862745098,0.4392156862745098,0.4375
4,Fusion,0.4722222222222222,0.4725490196078431,0.4682306940371457
5,Users,0.6583333333333333,0.6490196078431372,0.6476476476476476
5,Message,0.37254901960784315,0.37254901960784315,0.37254901960784315
5,Fusion,0.5019607843137255,0.5019607843137255,0.5
