feature,abs_coef_mean,abs_coef_std
U_ListedNumDay,1.771177902058088,1.6157469864430414
U_ListedNum,1.7530997395181451,1.3850303802124857
U_TweetNumDay,1.1610500393179446,1.4534840983716735
verified,1.0435115337409386,0.6719461758088509
posting_frequency,0.9134572071118127,0.8219264174694576
retweet_ratio,0.8253173984304297,0.5264842834330364
following_count,0.765768081048288,0.7203548723968096
HU_AverageInterval_days,0.649721530347717,0.2618519198148235
U_FolloweeNumDay,0.5478454568436296,0.6083162343628848
follower_to_followee_ratio,0.49216189463327664,0.15164270003785307
retweet_count,0.47892709122579546,0.6505360998046775
total_posts,0.43168386336096454,0.49575129488169295
HU_TweetPercent_Original,0.4080096257806499,0.07300102639112126
followers_count,0.399671425929404,0.2833232685502321
HU_TweetPercent_Retweet,0.3495460934336902,0.14280009733169546
U_AccountAge_days,0.31670669823410635,0.18369502723433612
U_FollowerNumDay,0.3161067575185854,0.25714545449643583
HU_TweetNum,0.25915298769768913,0.22768813330494783
U_ProfileUrl,0.09549521846122691,0.04982030977145361
