fold,feature,delta_F1
2,HU_TweetNum,0.0
2,HU_TweetPercent_Original,0.0
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,0.0
2,U_AccountAge_days,-0.1637264795159532
2,U_ListedNum,0.0
2,U_ProfileUrl,0.0
2,U_FollowerNumDay,0.0
2,U_FolloweeNumDay,0.0
2,U_TweetNumDay,0.0
2,U_ListedNumDay,0.0
2,total_posts,0.0025246921798645072
2,followers_count,0.0
2,following_count,-0.06958342958342967
2,verified,0.0
2,posting_frequency,0.0
2,retweet_count,-0.03417182364550797
2,follower_to_followee_ratio,0.0
2,retweet_ratio,0.0
