feature,perm_drop_mean,perm_drop_std
U_AccountAge_days,0.12308840985518399,0.18075573002325457
total_posts,0.034036281791388096,0.06597115718528804
followers_count,0.009677671431262896,0.012658521126340428
following_count,0.00833923470473294,0.04678688845746035
retweet_count,0.005961766680638377,0.02293406880055429
posting_frequency,0.0006378299120234599,0.0014262310413671669
HU_AverageInterval_days,0.00040612040612041155,0.002263597861755801
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
HU_TweetNum,0.0,0.0
U_ListedNum,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_FollowerNumDay,0.0,0.0
U_ProfileUrl,0.0,0.0
verified,0.0,0.0
follower_to_followee_ratio,0.0,0.0
retweet_ratio,0.0,0.0
