fold,block,delta_F1
1,no_bow,0.0
1,no_topics,-0.0031346749226006665
1,no_msg_numeric,-0.09049698806186102
2,no_bow,0.024341070023603473
2,no_topics,0.19428599527930768
2,no_msg_numeric,-0.03230723839496463
3,no_bow,0.07192807192807193
3,no_topics,0.0860811015609777
3,no_msg_numeric,0.08780108780108775
4,no_bow,-0.08153456450670071
4,no_topics,0.05594405594405594
4,no_msg_numeric,-0.031031468531468542
5,no_bow,0.04565217391304349
5,no_topics,0.020235892691951918
5,no_msg_numeric,-0.047514352579807684
